ensembl_gene_id	miRNA_ID	MI
SCGN	hsa-mir-20a	0.187995
POLR3A	hsa-mir-3127	0.187903
SV2A	hsa-mir-26a-1	0.187898
AIM2	hsa-mir-584	0.187883
TNKS1BP1	hsa-mir-4668	0.187829
SNRPB2	hsa-mir-600	0.187787
RARS1	hsa-mir-1224	0.187778
ZSCAN25	hsa-mir-93	0.187726
CAVIN4	hsa-mir-4723	0.187715
PTH2R	hsa-mir-200c	0.187699
ADAM22	hsa-mir-4766	0.18767
CCDC179	hsa-mir-7705	0.187635
MSRB2	hsa-mir-4326	0.187581
DCHS2	hsa-mir-7854	0.18757
SIK3	hsa-mir-4668	0.187566
EFEMP2	hsa-mir-32	0.18756
CRLF1	hsa-mir-1256	0.187558
APH1A	hsa-mir-4797	0.187544
EFCAB6	hsa-mir-27a	0.187495
KIR3DL2	hsa-mir-487a	0.187482
CDK7	hsa-mir-600	0.18748
PBX2	hsa-mir-6741	0.187471
SNAPC4	hsa-mir-409	0.187451
FCRL1	hsa-mir-6806	0.187407
RBBP7	hsa-mir-548d-1	0.187406
LUZP1	hsa-mir-651	0.187396
MCF2L2	hsa-mir-450b	0.187387
NLRP2	hsa-mir-500b	0.187382
DHDDS	hsa-mir-1976	0.18736
FBLN5	hsa-mir-26a-2	0.187341
GRAMD1A	hsa-mir-3157	0.187297
GPALPP1	hsa-mir-658	0.187143
